cigar,4.64658105100693
spiel,Infinity
mummy,2.2837846165826035
fault,4.476875830630736
foggy,2.906893291493702
flout,4.312447960544218
carry,4.054955382078332
sneak,4.677966848337203
libel,4.0484319608800705
waltz,3.759436627669113
aptly,Infinity
piney,4.51423777705726
inept,4.724430119227517
aloud,4.581934369514337
photo,Infinity
dream,Infinity
stale,5.337158076051705
vomit,4.011293123194191
ombre,Infinity
fanny,3.4293087488939755
unite,4.8566833739982656
snarl,5.034979689836163
baker,4.490860665904192
there,4.5025700577441246
glyph,3.7223912871918676
pooch,3.4841680426373296
hippy,3.1521298040068335
spell,4.113164067940765
folly,3.402961726316793
louse,5.030038431111002
gulch,3.90650250377
vault,4.366666911823312
godly,4.085916921535737
threw,4.586203419313678
fleet,4.171906412884019
grave,4.518117187831922
inane,Infinity
shock,3.9048935648014274
crave,4.714163671841716
spite,4.8888356798817485
valve,3.870391558256936
skimp,3.6516067186167374
claim,Infinity
rainy,4.8126257527415595
musty,4.059726161290311
pique,3.804145491498327
daddy,2.7753711727140997
quasi,Infinity
arise,5.400389453568365
aging,3.6049861711295934
valet,4.829846028592362
opium,3.990305487273274
avert,Infinity
stuck,3.956605000063707
recut,4.938565863300248
mulch,3.923226044732327
genre,4.319719467673457
plume,4.366285928767245
rifle,Infinity
count,Infinity
incur,Infinity
total,4.368574052860782
wrest,4.809483049508334
mocha,Infinity
deter,4.475479414661665
study,4.083000615205056
lover,Infinity
safer,4.923981128370822
rivet,4.74999737331655
funny,3.044640387609045
smoke,4.278962648362319
mound,Infinity
undue,3.733799059101052
sedan,4.9889172879120585
pagan,3.6604056711981525
swine,4.533557353014668
guile,4.670828472940428
gusty,4.050306161341162
equip,3.7043985338966032
tough,Infinity
canoe,5.141814656262204
chaos,4.568135116272798
covet,4.4672712914493635
human,4.138818931835084
udder,3.8727872930085505
lunch,4.174964105554685
blast,4.7160902466430805
stray,Infinity
manga,Infinity
melee,3.594566410812151
lefty,4.407511804751203
quick,3.1095397580396416
paste,5.079870421929849
given,Infinity
octet,4.254126706727459
risen,5.165341798364581
groan,4.778201339551138
leaky,4.550631255650831
grind,Infinity
carve,4.745308624723523
loose,4.50895221466349
sadly,4.5276267334550795
spilt,4.639795197525548
apple,4.209991235438427
slack,4.3799989187635155
honey,4.542165334268907
final,4.4539908620229784
sheen,4.225831542509906
eerie,3.8889087439099774
minty,4.1795507138157
slick,4.20081883518967
derby,4.326899970206135
wharf,3.9232649990827246
spelt,4.9053454251509425
coach,Infinity
erupt,4.833230165816362
singe,4.707585747053204
price,4.8649012896523764
spawn,4.121886276848541
fairy,Infinity
jiffy,2.3294916802690975
filmy,3.7814021391387893
stack,4.316089832031915
chose,4.7325855666827
sleep,4.321929686968153
ardor,Infinity
nanny,3.023815444924914
niece,4.337784254695483
woozy,2.581550651958671
handy,4.165503826540643
grace,4.9542919442169095
ditto,Infinity
stank,4.431880868139835
cream,4.940838519906792
usual,3.8918790468551276
diode,4.063189240921134
valor,4.615436284720891
angle,4.90562109617297
ninja,3.149816611358686
muddy,2.932368010763381
chase,4.89365247438247
reply,4.65643712568203
prone,4.940640741114605
spoil,4.600408533563533
heart,Infinity
shade,Infinity
diner,4.913225476389764
arson,5.121997510932674
onion,3.2131062951707423
sleet,4.6621206225746805
dowel,Infinity
couch,3.4871657876031503
palsy,4.518225597761147
bowel,Infinity
smile,4.808480667449147
evoke,3.399629416247292
creek,4.034816499771439
lance,Infinity
eagle,4.409232990578206
idiot,3.80784878253744
siren,Infinity
built,4.393406547603724
embed,3.492173687793066
award,Infinity
dross,3.9260101762359683
annul,3.9650842768118824
goody,3.3283446919833466
frown,3.955549279192774
patio,4.713347427664999
laden,5.017581793078827
humid,3.809116922105734
elite,4.580161662829027
lymph,3.680922999424716
edify,4.02108595437357
might,3.9111531303112033
reset,4.745833132021267
visit,3.533374200421896
gusto,Infinity
purse,4.828567980259096
vapor,4.333256913780149
crock,3.55388730209753
write,4.823256956667162
sunny,3.5316722050684404
loath,Infinity
chaff,3.213192687581412
slide,4.906159633469305
queer,3.59867312098788
venom,4.138159382001573
stamp,4.34354280149544
sorry,4.034287996495687
still,4.1200527401539695
acorn,4.9167068749733005
aping,Infinity
pushy,3.8000588752912523
tamer,5.127669239896078
hater,5.175346808374634
mania,3.85776868824182
awoke,4.27041474680031
brawn,4.1879450294152445
swift,3.9003195105886985
exile,3.701930793684803
birch,4.156712527924407
lucky,3.7355200580999526
freer,3.487302605666153
risky,Infinity
ghost,Infinity
plier,5.018557477446233
lunar,4.869335959346587
winch,3.816647451290082
snare,5.345542933428558
nurse,4.9874499228281834
house,4.751761945153035
borax,3.9693763490785665
nicer,4.939862320235692
lurch,4.358456937616434
exalt,Infinity
about,4.431998577069114
savvy,3.262375321069308
toxin,4.0360072403179235
tunic,4.431015628277037
pried,4.819997987375866
inlay,Infinity
chump,3.5830236026049453
lanky,4.211180110471831
cress,4.251746151391179
eater,4.78547794218476
elude,4.1110804064960345
cycle,3.876016349898734
kitty,3.353094266414939
boule,4.6634094195618845
moron,3.8986023057440042
tenet,3.882984987241845
place,4.950580417656129
lobby,3.352489127652818
plush,4.16204787365093
vigil,3.1765885976598227
index,3.911608846320106
blink,3.891053309723732
clung,4.054432940168925
qualm,3.6427859820056314
croup,4.422602444848735
clink,4.118013119588814
juicy,3.3738084856847013
stage,4.945634922903059
decay,4.575265873880397
nerve,4.013702930149657
flier,4.798233011347665
shaft,4.3254497894054875
crook,3.650037628318911
clean,5.103881178288118
china,4.444292811059869
ridge,4.682472259623483
vowel,Infinity
gnome,4.375651288941625
snuck,3.899866099040313
icing,3.317347070487854
spiny,4.1929776269557815
rigor,3.9498832269993303
snail,4.962087762771736
flown,3.8296068074647738
rabid,4.517853076170115
prose,4.99432121442758
thank,4.263173404071884
poppy,2.575022425764396
budge,Infinity
fiber,Infinity
moldy,4.046839408605057
dowdy,2.991455029980283
kneel,4.00800611413725
track,4.568161875826097
caddy,3.485479660530866
quell,3.372707821533941
dumpy,Infinity
paler,5.135496765249513
swore,4.7541446849265165
rebar,4.34381741416531
scuba,4.120496989659784
splat,Infinity
flyer,4.484315692515948
horny,4.436586922178213
mason,4.619806684558252
doing,4.176353928496742
ozone,Infinity
amply,Infinity
molar,4.863487373709616
ovary,4.271209846369952
beset,4.242535832988695
queue,2.6696687978566054
cliff,3.330005740049191
magic,4.083133590429219
truce,5.001645439848831
sport,4.763326316880971
fritz,Infinity
edict,4.689583486348389
twirl,4.5336091339200975
verse,4.1433381274660235
llama,3.211423357043523
eaten,4.63302296999678
range,5.025236590956345
whisk,3.5803958974135477
hovel,Infinity
rehab,4.712499895899573
macaw,3.294643152683271
sigma,4.221319153750316
spout,4.451771094722557
verve,3.220203860753413
sushi,3.5011930417136115
dying,Infinity
fetid,Infinity
brain,4.695838179478705
buddy,2.876905829178339
thump,3.803184287257538
scion,4.597978760059232
candy,4.282391568926768
chord,4.3598959975957365
basin,4.522627589532779
march,4.412496063932447
crowd,4.107989231060476
arbor,4.136885910820001
gayly,3.5760056592582057
musky,3.5254367941443676
stain,4.917010993994608
dally,3.786096379160011
bless,3.9301155189078645
bravo,4.189759334035391
stung,4.152381065880716
title,4.524327761696626
ruler,4.327606346951058
kiosk,3.48665804038531
blond,4.203157700015445
ennui,Infinity
layer,Infinity
fluid,3.970196123465928
tatty,3.2335911233275154
score,5.070906072119877
cutie,4.861627025399245
zebra,4.198298811466669
barge,4.733511827510898
matey,4.702624433290365
bluer,4.692106528848459
aider,5.112830523890808
shook,3.3809199039396365
river,3.908423928476745
privy,3.8694619290082874
betel,4.266476964158399
frisk,Infinity
bongo,3.3064261464453404
begun,4.117157023814229
azure,Infinity
weave,3.6586396919733835
genie,4.1798199655688535
sound,4.392824205756165
glove,4.256821104777683
braid,4.518091757285317
scope,4.654222770667071
wryly,3.3140412331458946
rover,3.927633309998193
assay,3.1795508506501515
ocean,4.954547069382597
bloom,3.4412604172139525
irate,5.43250072206132
later,Infinity
woken,4.068600732189368
silky,Infinity
wreck,4.085298867980723
dwelt,4.449533297597185
slate,5.402979318706857
smack,3.9701634913535915
solid,4.655625497214816
amaze,3.4418365923255534
hazel,4.258259877294075
wrist,4.545208572932192
jolly,3.0272815385392344
globe,4.460019814089072
flint,4.355902016135997
rouse,5.132593925599881
civil,Infinity
vista,4.3674693021625925
relax,4.603164787542435
cover,4.507408754147835
alive,4.715936544669383
beech,3.702320067444806
jetty,Infinity
bliss,3.6471673857242832
vocal,4.305306964010136
often,Infinity
dolly,3.6531207111903115
eight,Infinity
joker,3.8729429602075283
since,4.920743601553272
event,3.7980945194871865
ensue,4.235375090444269
shunt,4.375507784567786
diver,4.396661976285902
poser,4.967729600392498
worst,4.5924979854237655
sweep,3.735300164477721
alley,Infinity
creed,4.298056437576467
anime,Infinity
leafy,4.586524675378359
bosom,3.392503984815405
dunce,4.5023348146801565
stare,5.419266008513334
pudgy,Infinity
waive,4.203335845924692
choir,4.632187959502996
stood,3.8590520962048314
spoke,4.3408513398999125
outgo,3.573546043041953
delay,4.80170255279015
bilge,Infinity
ideal,4.929731883636406
clasp,4.609741349329065
seize,3.7593826920494235
hotly,4.418987877589787
laugh,4.261390728338889
sieve,3.966553516450888
block,Infinity
meant,4.995271687620331
grape,4.831550580347951
noose,4.365604902636435
hardy,4.3729534196637045
shied,4.634031780107816
drawl,4.424733890436719
daisy,4.516259262065161
putty,3.397501046479226
strut,4.066083690191878
burnt,4.412091141219965
tulip,Infinity
crick,3.508028660463263
idyll,3.5224509780273947
vixen,3.654278329196413
furor,3.6963437213231787
geeky,Infinity
cough,3.9543419919314755
naive,Infinity
shoal,4.776387581412621
stork,4.482745682651725
bathe,4.729952624787131
aunty,4.51657015350963
check,3.324941114303015
prime,4.653843472240268
brass,3.916052384261573
outer,5.077211908231336
furry,3.343939717659899
razor,3.6490051932560945
elect,Infinity
evict,4.373751455641259
imply,3.895493444139735
demur,4.513965654069569
quota,3.9526648251792302
haven,Infinity
cavil,4.321501308897561
swear,Infinity
crump,4.0125062569720695
dough,3.8834764164773743
gavel,4.4177221731687375
wagon,4.124761719056649
salon,5.00940454858583
nudge,Infinity
harem,4.864591449287942
pitch,Infinity
sworn,4.40699854755611
pupil,3.5907239941703315
excel,3.5179821656404164
stony,4.532261031287309
cabin,4.413645741621788
unzip,3.402245752906263
queen,3.4370970381331483
trout,4.200961324727678
polyp,Infinity
earth,5.212930238377989
storm,Infinity
until,4.593172337377939
taper,5.187286534555734
enter,4.512292348045032
child,4.204996759545508
adopt,4.498586937254011
minor,4.606054354340483
fatty,Infinity
husky,3.6055590436668785
brave,Infinity
filet,4.7799266862714
slime,4.832061879933388
glint,4.479030572889976
tread,5.247258229467833
steal,Infinity
regal,5.075333274850783
guest,4.653424051628064
every,3.6758363582941906
murky,3.6864849167522005
share,5.165797686076149
spore,4.964466417506278
hoist,4.686683580014666
buxom,3.126884700187966
inner,4.283555950513105
otter,4.495102509792421
dimly,4.0329493957187275
level,3.2632882162939865
sumac,4.2613970318308265
donut,4.4711714826567315
stilt,4.1461466353280265
arena,4.61996295149728
sheet,4.337059313721502
scrub,4.145302945220987
fancy,Infinity
slimy,Infinity
pearl,Infinity
silly,3.847404107583514
porch,4.326412663566837
dingo,4.149166249298345
sepia,4.920168014216698
amble,4.599317820365565
shady,4.21189831046308
bread,4.796193565455802
friar,4.017787971124499
reign,Infinity
dairy,Infinity
quill,3.1027589660731807
cross,4.017776066399655
brood,3.67890477494705
tuber,Infinity
shear,5.157450317224098
posit,4.657756211254174
blank,4.089000635452588
villa,3.620183891602089
shank,4.190483565536847
piggy,3.06454802885668
freak,4.456816590118313
which,3.0510270738425156
among,4.202671606935588
fecal,Infinity
shell,4.145716741695812
would,4.015316559456204
algae,4.333113382057452
large,5.106572381553043
rabbi,3.7584695714503917
agony,Infinity
amuse,4.745527484954432
bushy,Infinity
copse,Infinity
swoon,3.5573183635116554
knife,4.069770872851719
pouch,4.016316212000118
ascot,4.824774876629318
plane,5.018775554098815
crown,4.283989075290139
urban,4.493176995230778
snide,Infinity
relay,5.118080345046553
abide,4.602559827922083
viola,4.372475764570926
rajah,3.3850581315243513
straw,4.618019590574243
dilly,3.609728666982278
crash,4.723171689304223
amass,3.139332675741092
third,4.535202990860423
trick,4.375464960663752
tutor,Infinity
woody,3.158576078092681
blurb,3.5071622310425403
grief,Infinity
disco,Infinity
where,3.948728709207313
sassy,3.1523621528712362
beach,4.489729914140841
sauna,4.033115389800925
comic,3.496813779829006
clued,Infinity
creep,4.2647876937717895
caste,5.2050028220522195
graze,4.295128107686248
snuff,3.1772072568234884
frock,Infinity
gonad,4.405742845280431
drunk,3.9884489107167616
prong,4.2964477589764485
lurid,Infinity
steel,4.568188647041595
halve,4.51354458327649
buyer,Infinity
vinyl,3.92694370331493
utile,Infinity
smell,4.051291587809299
adage,4.005157785582614
worry,3.5513633484230356
tasty,4.0317624372305
local,4.131627251790615
trade,5.251005953250281
finch,3.8350663255807884
ashen,4.851940574509921
modal,4.480666565772289
gaunt,4.500235630049425
clove,4.447027555868507
enact,5.093565395807857
adorn,4.823263837451363
roast,Infinity
speck,4.110164450944253
sheik,4.326741883705881
missy,3.4496371771902363
grunt,4.434909811337445
snoop,3.76571432055007
party,4.674719946369372
touch,4.349642045618742
mafia,3.432191927339366
emcee,3.261780431376478
array,3.533668672038847
south,4.521949243608438
vapid,Infinity
jelly,3.2380782391585723
skulk,3.2786155778040538
angst,4.605391725426744
tubal,4.512686529047955
lower,Infinity
crest,5.1320153878556525
sweat,Infinity
cyber,4.38839184185003
adore,Infinity
tardy,4.701472104027619
swami,4.035963783365147
notch,Infinity
groom,3.6137560628460217
roach,4.756030139164086
hitch,3.5735592307242774
young,3.9813378732183518
align,4.62572713761878
ready,4.8935243137964015
frond,4.226894982023107
strap,4.853536959597641
puree,4.337021702244633
realm,5.119509439329099
venue,3.752852781615801
swarm,4.260041259992398
offer,3.8143783839958667
seven,3.9106202917885686
dryer,4.024223059178432
diary,4.646979629905392
dryly,3.572735660250172
drank,4.3568386174315386
acrid,Infinity
heady,4.498446059197381
theta,4.310462310111987
junto,3.794222184683929
pixie,3.277739881825072
quoth,3.649220397679457
bonus,4.198185938254948
shalt,4.8457915443599155
penne,3.461296750325713
amend,Infinity
datum,4.267971021172152
build,4.091201513485663
piano,Infinity
shelf,4.3784719307341575
lodge,4.617688232185503
suing,4.182506721047915
rearm,4.389361171956496
coral,5.038114195272406
ramen,5.009317446038186
worth,4.312117511518128
psalm,Infinity
infer,Infinity
overt,Infinity
mayor,Infinity
ovoid,3.2518907017881116
glide,4.581658680365173
usage,4.637726027177977
poise,4.884571274862996
randy,4.562138655364634
chuck,2.902854927824529
prank,Infinity
fishy,3.7639244917828085
tooth,3.2726347209465896
ether,4.293488835729994
drove,4.445403160169705
idler,Infinity
swath,4.303278076335324
stint,4.028015984232586
while,4.405370941103656
begat,4.640440070367572
apply,Infinity
slang,Infinity
tarot,Infinity
radar,3.5204386812137614
credo,Infinity
aware,Infinity
canon,4.046241394373007
shift,4.139854691635322
timer,4.959813838117658
bylaw,3.852613250026586
serum,4.734444623311548
three,4.571120956054296
steak,4.741141435174481
iliac,Infinity
shirk,4.190113373169812
blunt,4.270761791533071
puppy,2.3513399700684956
penal,Infinity
joist,4.105914088660292
bunny,3.134466647250339
shape,Infinity
beget,3.9120531156403806
wheel,3.840284467008484
adept,4.767263519663934
stunt,3.85272531691372
stole,5.1611850906697505
topaz,Infinity
chore,Infinity
fluke,4.0233615123418485
afoot,3.853283760602385
bloat,4.7522713592505195
bully,3.2668384955159633
dense,4.273410734081368
caper,4.973136795204819
sneer,4.543455054736739
boxer,4.043717775538535
jumbo,3.0501139640674175
lunge,4.553770421799823
space,4.8651545967155325
avail,3.776476772387045
short,4.794822032073482
slurp,4.484782943546103
loyal,4.040542524059548
flirt,4.55908400529036
pizza,2.883125078181233
conch,3.5931933948224266
tempo,Infinity
droop,3.7837531857824778
plate,5.135607715374058
bible,Infinity
plunk,3.8440843854972924
afoul,4.339362974639824
savoy,4.195789284623628
steep,Infinity
agile,Infinity
stake,4.804765042584988
dwell,3.6737069759318834
knave,4.140527225894448
beard,Infinity
arose,5.403142141088944
motif,4.10169601854031
smash,3.6579047435876793
broil,4.628612775831896
glare,5.115442666277368
shove,4.272827261379297
baggy,3.144241422749597
mammy,2.6587099329329464
swamp,3.8392452121019867
along,4.604432698185359
rugby,3.776095864126555
wager,4.557821285544682
quack,3.2675136268592317
squat,4.0035902774813605
snaky,4.184618984223733
debit,4.552273702262245
mange,4.560907256973369
skate,4.844725929086432
ninth,3.695150928517613
joust,Infinity
tramp,4.587051384572879
spurn,4.396553241258395
medal,4.76213162626829
micro,Infinity
